title,authors,type_of_ban,state,district,date_of_challenge_removal,origin_of_challenge,categories,publishing_date,description,text_snippet
"Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver","Lockhart, E.",Banned Pending Investigation,Florida,Walton County School District,April 2022,Administrator,Young Adult Fiction,2011-12-27,"From E. Lockhart, author of the highly acclaimed, New York Times bestseller We Were Liars, which John Green called ""utterly unforgettable,"" comes Real Live Boyfriends, the fourth book in the uproarious and heartwarming Ruby Oliver novels that finds Ruby Oliver as neurotic and hyperverbal as ever as she interviews her friends for a documentary on love and popularity and while doing so turns up some uncomfortable truths. She’s lost most of her friends. She’s lost her true love more than once. She’s lost her grandmother, her job, her reputation, and possibly her mind. But she’s never lost her sense of humor. The Ruby Oliver books are the record of her survival.","From E. Lockhart, author of the highly acclaimed, New York Times bestseller We Were Liars, which John Green called &quot;utterly unforgettable,&quot; comes Real Live Boyfriends, the fourth book in the uproarious and heartwarming Ruby Oliver novels ..."
"Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver","Lockhart, E.",Banned Pending Investigation,Texas,Fredericksburg Independent School District,March 2022,Administrator,Young Adult Fiction,2011-12-27,"From E. Lockhart, author of the highly acclaimed, New York Times bestseller We Were Liars, which John Green called ""utterly unforgettable,"" comes Real Live Boyfriends, the fourth book in the uproarious and heartwarming Ruby Oliver novels that finds Ruby Oliver as neurotic and hyperverbal as ever as she interviews her friends for a documentary on love and popularity and while doing so turns up some uncomfortable truths. She’s lost most of her friends. She’s lost her true love more than once. She’s lost her grandmother, her job, her reputation, and possibly her mind. But she’s never lost her sense of humor. The Ruby Oliver books are the record of her survival.","From E. Lockhart, author of the highly acclaimed, New York Times bestseller We Were Liars, which John Green called &quot;utterly unforgettable,&quot; comes Real Live Boyfriends, the fourth book in the uproarious and heartwarming Ruby Oliver novels ..."
For Black Girls Like Me,"Lockington, Mariama J.",Banned Pending Investigation,Oklahoma,Bristow Public Schools,October 2021,Administrator,Juvenile Fiction,2019-07-30,"In this lyrical coming-of-age story about family, sisterhood, music, race, and identity, Mariama J. Lockington draws on some of the emotional truths from her own experiences growing up with an adoptive white family. I am a girl but most days I feel like a question mark. Makeda June Kirkland is eleven years old, adopted, and black. Her parents and big sister are white, and even though she loves her family very much, Makeda often feels left out. When Makeda's family moves from Maryland to New Mexico, she leaves behind her best friend, Lena— the only other adopted black girl she knows— for a new life. In New Mexico, everything is different. At home, Makeda’s sister is too cool to hang out with her anymore and at school, she can’t seem to find one real friend. Through it all, Makeda can’t help but wonder: What would it feel like to grow up with a family that looks like me? Through singing, dreaming, and writing secret messages back and forth with Lena, Makeda might just carve a small place for herself in the world. For Black Girls Like Me is for anyone who has ever asked themselves: How do you figure out where you are going if you don’t know where you came from?",For Black Girls Like Me is for anyone who has ever asked themselves: How do you figure out where you are going if you don’t know where you came from?
For Black Girls Like Me,"Lockington, Mariama J.",Banned in Classrooms,Pennsylvania,Central York School District,August 2021,Administrator,Juvenile Fiction,2019-07-30,"In this lyrical coming-of-age story about family, sisterhood, music, race, and identity, Mariama J. Lockington draws on some of the emotional truths from her own experiences growing up with an adoptive white family. I am a girl but most days I feel like a question mark. Makeda June Kirkland is eleven years old, adopted, and black. Her parents and big sister are white, and even though she loves her family very much, Makeda often feels left out. When Makeda's family moves from Maryland to New Mexico, she leaves behind her best friend, Lena— the only other adopted black girl she knows— for a new life. In New Mexico, everything is different. At home, Makeda’s sister is too cool to hang out with her anymore and at school, she can’t seem to find one real friend. Through it all, Makeda can’t help but wonder: What would it feel like to grow up with a family that looks like me? Through singing, dreaming, and writing secret messages back and forth with Lena, Makeda might just carve a small place for herself in the world. For Black Girls Like Me is for anyone who has ever asked themselves: How do you figure out where you are going if you don’t know where you came from?",For Black Girls Like Me is for anyone who has ever asked themselves: How do you figure out where you are going if you don’t know where you came from?
Black Wings Beating (Skybound Series),"London, Alex",Banned Pending Investigation,Tennessee,Collierville Schools,February 2022,Administrator,Young Adult Fiction,2018-09-25,"*An NBC Today Show Book Club Pick!* *A Seventeen Magazine Best YA Book of 2018!* *A Kirkus Best YA Fantasy Book of the Year* *A We Need Diverse Books 2018 Must-Read* ""Epic thrills, heart-punching romance, and a marvel of a hero"" --Adam Silvera, New York Times-bestselling author of They Both Die at the End The people of Uztar have long looked to the sky with hope and wonder. Nothing in their world is more revered than the birds of prey and no one more honored than the falconers who call them to their fists. Brysen strives to be a great falconer—while his twin sister, Kylee, rejects her ancient gifts for the sport and wishes to be free of falconry. She’s nearly made it out, too, but a war is rolling toward their home in the Six Villages, and no bird or falconer will be safe. Together the twins must journey into the treacherous mountains to trap the Ghost Eagle, the greatest of the Uztari birds and a solitary killer. Brysen goes for the boy he loves and the glory he's long craved, and Kylee to atone for her past and to protect her brother's future. But both are hunted by those who seek one thing: power. In this first young-adult fantasy novel in a trilogy, Alex London launches a soaring saga about the memories that haunt us, the histories that hunt us, and the bonds of blood between us.","In this first young-adult fantasy novel in a trilogy, Alex London launches a soaring saga about the memories that haunt us, the histories that hunt us, and the bonds of blood between us."
Gold Wings Rising (Skybound Series),"London, Alex",Banned Pending Investigation,Tennessee,Collierville Schools,February 2022,Administrator,Young Adult Fiction,2021-09-14,"In Gold Wings Rising, the final installment of Alex London's Skybound Saga, Kylee and Brysen must fight for their lives and their humanity. Book 1 was a Today Show Book Club Pick! The war on the ground has ended, but the war with the sky has just begun. After the Siege of the Six Villages, the ghost eagles have trapped Uztaris on both sides of the conflict. The villagers and Kartami alike hide in caves, huddled in terror as they await nightly attacks. Kylee aims to plunge her arrows into each and every ghost eagle; in her mind, killing the birds is the only way to unshackle the city’s chains. But Brysen has other plans. While the humans fly familiar circles around each other, the ghost eagles create schemes far greater and more terrible than either Kylee or Brysen could have imagined. Now, the tug-of-war between love and power begins to fray, threatening bonds of siblinghood and humanity alike.","In Gold Wings Rising, the final installment of Alex London&#39;s Skybound Saga, Kylee and Brysen must fight for their lives and their humanity."
Guardian (Proxy Series),"London, Alex",Banned Pending Investigation,Texas,Granbury Independent School District,January 2022,Administrator,Juvenile Fiction,2013,"""Privileged Syd and and his proxy, Knox, are thrown together to overthrow the system""--","&quot;Privileged Syd and and his proxy, Knox, are thrown together to overthrow the system&quot;--"
Guardian (Proxy Series),"London, Alex",Banned Pending Investigation,Texas,North East Independent School District,December 2021,Administrator,Juvenile Fiction,2013,"""Privileged Syd and and his proxy, Knox, are thrown together to overthrow the system""--","&quot;Privileged Syd and and his proxy, Knox, are thrown together to overthrow the system&quot;--"
Proxy (Proxy Series),"London, Alex",Banned Pending Investigation,Texas,Granbury Independent School District,January 2022,Administrator,Juvenile Fiction,2013,"""Privileged Syd and and his proxy, Knox, are thrown together to overthrow the system""--","&quot;Privileged Syd and and his proxy, Knox, are thrown together to overthrow the system&quot;--"
Proxy (Proxy Series),"London, Alex",Banned Pending Investigation,Texas,North East Independent School District,December 2021,Administrator,Juvenile Fiction,2013,"""Privileged Syd and and his proxy, Knox, are thrown together to overthrow the system""--","&quot;Privileged Syd and and his proxy, Knox, are thrown together to overthrow the system&quot;--"
The Dateable Rules: A Guide to the Sexes,"Lookadoo, Justin; DiMarco, Hayley",Banned Pending Investigation,Texas,Granbury Independent School District,January 2022,Administrator,Young Adult Nonfiction,2004-02-01,"Take Wild at Heart by John Eldredge and The Mystique of a Woman by Jean Lush and turn it into something that gets the attention of busy teens and you begin to understand The Dateable Rules. This interactive guide takes up where Dateable left off and walks teens through the Bible's insights about men and women. Guys will learn that God loves adventure and that there's a difference between a spiritual and a physical adventure. They'll also learn how to be a gentleman (open her door and carry the box of leftovers from dinner, etc.) Girls will learn that beauty is defined by God, not supermodels, and that if they talk too much, they lose. They learn the secrets of staying confident and letting a guy lead. How It Works: Bible Study: a study that can be used by an individual couple or a whole youth group. Focus Group: a time when guys and girls get the lowdown on each other's gender. Guys and girls or groups can talk about what they learned in the week's study and discuss the truths of Scripture. Workbook: offers lots of things for readers to do, from writing down all the bad things they have said about another person and confessing them to God to going back to the point in time when their femininity or masculinity was squashed and allowing Jesus to redefine that moment. Each section is filled with interactive activities that help students better understand God's plan for men and women. The Dateable Rules isn't about teens getting more dates; it's about learning to understand the opposite sex and making good choices based on the truth!",This interactive guide takes up where Dateable left off and walks teens through the Bible&#39;s insights about men and women. Guys will learn that God loves adventure and that there&#39;s a difference between a spiritual and a physical adventure.
A Handful of Stars,"Lord, Cynthia",Banned Pending Investigation,Florida,Duval County Public Schools,January 2022,Administrator,Juvenile Fiction,2015-05-26,This powerful middle-grade novel from the Newbery Honor author of RULES explores a friendship between a small-town girl and the daughter of migrant workers.,This powerful middle-grade novel from the Newbery Honor author of RULES explores a friendship between a small-town girl and the daughter of migrant workers.
Sister Outsider: Essays and Speeches,"Lorde, Audre",Banned Pending Investigation,Tennessee,Collierville Schools,February 2022,Administrator,Social Science,2020-02-25,"“Sister Outsider, a collection of essays and speeches by the pioneering feminist Audre Lorde, is one of my all-time-favorite books. It’s always great to have an intersectional tome on hand.” —Amanda Gorman ""Sister Outsider's teachings, by one of our most revered elder stateswomen, should be read by everyone."" —Essence Presenting the essential writings of black lesbian poet and feminist writer Audre Lorde, Sister Outsider celebrates an influential voice in twentieth-century literature, with a foreword by Mahogany L. Browne. A New York Times New & Noteworthy book A Penguin Vitae Edition In this charged collection of fifteen essays and speeches, Lorde takes on sexism, racism, ageism, homophobia, and class, and propounds social difference as a vehicle for action and change. Her prose is incisive, unflinching, and lyrical, reflecting struggle but ultimately offering messages of hope. The groundbreaking feminist's timely collection of nonfiction writings on race, gender, and LGBTQ issues is now for the first time in Penguin Classics as part of the Penguin Vitae series, with a foreword by poet Mahogany L. Browne. Penguin Classics launches a new hardcover series with five American classics that are relevant and timeless in their power, and part of a dynamic and diverse landscape of classic fiction and nonfiction from almost seventy-five years of classics publishing. Penguin Vitae provides readers with beautifully designed classics that have shaped the course of their lives, and welcomes new readers to discover these literary gifts of personal inspiration, intellectual engagement, and creative originality.","A New York Times New &amp; Noteworthy book A Penguin Vitae Edition In this charged collection of fifteen essays and speeches, Lorde takes on sexism, racism, ageism, homophobia, and class, and propounds social difference as a vehicle for action ..."
A Long Pitch Home,"Lorenzi, Natalie Dias",Banned Pending Investigation,Florida,Duval County Public Schools,January 2022,Administrator,Juvenile Fiction,2018-02-20,"A sensitive and endearing middle grade novel about a young Pakistani immigrant adjusting to his new life in contemporary America Ten-year-old Bilal liked his life back home in Pakistan. He was a star on his cricket team. But when his father suddenly sends the family to live with their aunt and uncle in America, nothing is familiar. While Bilal tries to keep up with his cousin Jalaal by joining a baseball league and practicing his English, he wonders when his father will join the family in Virginia. Maybe if Bilal can prove himself on the pitcher’s mound, his father will make it to see him play. But playing baseball means navigating relationships with the guys, and with Jordan, the only girl on the team—the player no one but Bilal wants to be friends with.",A sensitive and endearing middle grade novel about a young Pakistani immigrant adjusting to his new life in contemporary America Ten-year-old Bilal liked his life back home in Pakistan.
Flying the Dragon,"Lorenzi, Natalie Dias",Banned Pending Investigation,Florida,Duval County Public Schools,January 2022,Administrator,Juvenile Fiction,2014-03-11,"When Skye's cousin Hiroshi and his family move to Virginia from Japan, the cultural differences lead to misunderstandings and both children are unhappy at the changes in their lives--will flying the dragon kite finally bring them together?","When Skye&#39;s cousin Hiroshi and his family move to Virginia from Japan, the cultural differences lead to misunderstandings and both children are unhappy at the changes in their lives--will flying the dragon kite finally bring them together?"
We Want to Do More Than Survive: Abolitionist Teaching and the Pursuit of Educational Freedom,"Love, Bettina L.",Banned in Classrooms,Pennsylvania,Central York School District,August 2021,Administrator,Education,2019-02-19,"Winner of the 2020 Society of Professors of Education Outstanding Book Award Drawing on personal stories, research, and historical events, an esteemed educator offers a vision of educational justice inspired by the rebellious spirit and methods of abolitionists. Drawing on her life’s work of teaching and researching in urban schools, Bettina Love persuasively argues that educators must teach students about racial violence, oppression, and how to make sustainable change in their communities through radical civic initiatives and movements. She argues that the US educational system is maintained by and profits from the suffering of children of color. Instead of trying to repair a flawed system, educational reformers offer survival tactics in the forms of test-taking skills, acronyms, grit labs, and character education, which Love calls the educational survival complex. To dismantle the educational survival complex and to achieve educational freedom—not merely reform—teachers, parents, and community leaders must approach education with the imagination, determination, boldness, and urgency of an abolitionist. Following in the tradition of activists like Ella Baker, Bayard Rustin, and Fannie Lou Hamer, We Want to Do More Than Survive introduces an alternative to traditional modes of educational reform and expands our ideas of civic engagement and intersectional justice.","Following in the tradition of activists like Ella Baker, Bayard Rustin, and Fannie Lou Hamer, We Want to Do More Than Survive introduces an alternative to traditional modes of educational reform and expands our ideas of civic engagement and ..."
Julián at the Wedding (Julián Series),"Love, Jessica",Banned Pending Investigation,Texas,North East Independent School District,December 2021,Administrator,Juvenile Fiction,2020-10-06,"The star of Julián Is a Mermaid makes a joyful return--and finds a new friend--at a wedding to be remembered. Julián and his abuela are going to a wedding. Better yet, Julián is in the wedding. Weddings have flowers and kissing and dancing and cake. And this wedding also has a new friend named Marisol. It's not long before Julián and Marisol set off for some magic and mischief of their own, and when things take an unexpected turn, the pair learns that everything is easier with a good friend by your side. Jessica Love returns with a joyful story of friendship and individuality in this radiant follow-up to Julián Is a Mermaid.","The star of Julián Is a Mermaid makes a joyful return--and finds a new friend--at a wedding to be remembered. Julián and his abuela are going to a wedding. Better yet, Julián is in the wedding."
Julián Is a Mermaid (Julián Series),"Love, Jessica",Banned Pending Investigation,Florida,Duval County Public Schools,January 2022,Administrator,Juvenile Fiction,2019-06-18,"In an exuberant picture book, a glimpse of costumed mermaids leaves one boy flooded with wonder and ready to dazzle the world. While riding the subway home from the pool with his abuela one day, Julián notices three women spectacularly dressed up. Their hair billows in brilliant hues, their dresses end in fishtails, and their joy fills the train car. When Julián gets home, daydreaming of the magic he’s seen, all he can think about is dressing up just like the ladies in his own fabulous mermaid costume: a butter-yellow curtain for his tail, the fronds of a potted fern for his headdress. But what will Abuela think about the mess he makes — and even more importantly, what will she think about how Julián sees himself? Mesmerizing and full of heart, Jessica Love’s author-illustrator debut is a jubilant picture of self-love and a radiant celebration of individuality.","When Julián gets home, daydreaming of the magic he’s seen, all he can think about is dressing up just like the ladies in his own fabulous mermaid costume: a butter-yellow curtain for his tail, the fronds of a potted fern for his ..."
Julián Is a Mermaid (Julián Series),"Love, Jessica",Banned in Classrooms,Pennsylvania,Central York School District,August 2021,Administrator,Juvenile Fiction,2019-06-18,"In an exuberant picture book, a glimpse of costumed mermaids leaves one boy flooded with wonder and ready to dazzle the world. While riding the subway home from the pool with his abuela one day, Julián notices three women spectacularly dressed up. Their hair billows in brilliant hues, their dresses end in fishtails, and their joy fills the train car. When Julián gets home, daydreaming of the magic he’s seen, all he can think about is dressing up just like the ladies in his own fabulous mermaid costume: a butter-yellow curtain for his tail, the fronds of a potted fern for his headdress. But what will Abuela think about the mess he makes — and even more importantly, what will she think about how Julián sees himself? Mesmerizing and full of heart, Jessica Love’s author-illustrator debut is a jubilant picture of self-love and a radiant celebration of individuality.","When Julián gets home, daydreaming of the magic he’s seen, all he can think about is dressing up just like the ladies in his own fabulous mermaid costume: a butter-yellow curtain for his tail, the fronds of a potted fern for his ..."
Encounter,"Luby, Brittany",Banned Pending Investigation,Florida,Duval County Public Schools,January 2022,Administrator,Juvenile Fiction,1996,A Taino Indian boy on the island of San Salvador recounts the landing of Columbus and his men in 1492.,A Taino Indian boy on the island of San Salvador recounts the landing of Columbus and his men in 1492.
"Thanks a Lot, Universe","Lucas, Chad",Banned in Libraries and Classrooms,Florida,Indian River County School District,November 2021,Administrator,Juvenile Fiction,2021-05-11,"Now in paperback, a moving contemporary middle-grade novel for anyone who’s ever felt like they don’t belong Brian has always been anxious, whether at home, or in class, or on the basketball court. His dad tries to get him to stand up for himself and his mom helps as much as she can. But after he and his brother are placed in foster care, Brian starts having panic attacks. And he doesn’t quite know if there's something wrong with him . . . Ezra’s always been popular. He’s friends with most of the kids on his basketball team—even Brian, who doesn’t talk to many people. But now, some of his friends have been acting differently, and Brian seems to be pulling away. Ezra wants to help, but he worries if he’s too nice to Brian, his friends will realize that he has a crush on him . . . But when Brian and his brother run away, Ezra has no choice but to take the leap and reach out to Brian. And Brian realizes that he could really use a friend right now. As the two get closer, they’ll have to decide if they’re willing to risk being vulnerable with each other and share parts of themselves they’d rather hide from the world. But if they can be brave, they might just find the best in themselves—and each other. With a lively voice and moving story, Thanks a Lot, Universe is about finding your community and learning to trust your heart.","But if they can be brave, they might just find the best in themselves—and each other. With a lively voice and moving story, Thanks a Lot, Universe is about finding your community and learning to trust your heart."
The Power of One: Every Act of Kindness Counts,"Ludwig, Trudy",Banned in Classrooms,Pennsylvania,Central York School District,August 2021,Administrator,Juvenile Fiction,2020-08-25,"One small act of kindness can change the world. From esteemed bullying expert and author of The Invisible Boy, Trudy Ludwig and Little Elliot illustrator Mike Curato comes a tale as simple--and simply inspiring--as the golden rule. When one child reaches out in friendship to a classmate who seems lonely, she begins a chain reaction of kindness that ripples throughout her school and her community. One kind act begets another, small good deeds make way for bigger ones, and eventually the whole neighborhood comes together to build something much greater than the sum of its parts. From acclaimed bullying expert Trudy Ludwig, The Power of One not only conveys a message of kindness, it offers concrete steps that kids can take to make a difference in their own communities. As Trudy says in the final line of the book: ""Acts and words of kindness DO count, and it all starts with ONE.""","As Trudy says in the final line of the book: &quot;Acts and words of kindness DO count, and it all starts with ONE.&quot;"
Daughters Unto Devils,"Lukavics, Amy",Banned Pending Investigation,Texas,Granbury Independent School District,January 2022,Administrator,Young Adult Fiction,2016-10-01,"God bless the little children When sixteen-year-old Amanda Verner's family decides to move from their small mountain cabin to the vast prairie, she hopes it is her chance for a fresh start. She can leave behind the memory of the past winter; of her sickly Ma giving birth to a baby sister who cries endlessly; of the terrifying visions she saw as her sanity began to slip, the victim of cabin fever; and most of all, the memories of the boy she has been secretly meeting with as a distraction from her pain. The boy whose baby she now carries. When the Verners arrive at their new home, a large cabin abandoned by its previous owners, they discover the inside covered in blood. And as the days pass, it is obvious to Amanda that something isn't right on the prairie. She's heard stories of lands being tainted by evil, of men losing their minds and killing their families, and there is something strange about the doctor and his son who live in the woods on the edge of the prairie. But with the guilt and shame of her sins weighing on her, Amanda can't be sure if the true evil lies in the land, or deep within her soul.","God bless the little children When sixteen-year-old Amanda Verner’s family decides to move from their small mountain cabin to the vast prairie, she hopes it is her chance for a fresh start."
Daughters Unto Devils,"Lukavics, Amy",Banned Pending Investigation,Texas,North East Independent School District,December 2021,Administrator,Young Adult Fiction,2016-10-01,"God bless the little children When sixteen-year-old Amanda Verner's family decides to move from their small mountain cabin to the vast prairie, she hopes it is her chance for a fresh start. She can leave behind the memory of the past winter; of her sickly Ma giving birth to a baby sister who cries endlessly; of the terrifying visions she saw as her sanity began to slip, the victim of cabin fever; and most of all, the memories of the boy she has been secretly meeting with as a distraction from her pain. The boy whose baby she now carries. When the Verners arrive at their new home, a large cabin abandoned by its previous owners, they discover the inside covered in blood. And as the days pass, it is obvious to Amanda that something isn't right on the prairie. She's heard stories of lands being tainted by evil, of men losing their minds and killing their families, and there is something strange about the doctor and his son who live in the woods on the edge of the prairie. But with the guilt and shame of her sins weighing on her, Amanda can't be sure if the true evil lies in the land, or deep within her soul.","God bless the little children When sixteen-year-old Amanda Verner’s family decides to move from their small mountain cabin to the vast prairie, she hopes it is her chance for a fresh start."
In Deeper Waters,"Lukens, F. T.",Banned Pending Investigation,Tennessee,Collierville Schools,February 2022,Administrator,Juvenile Fiction,2022-12-22,"Forbidden magic, high-seas adventure and love . . . the perfect LGBTQ+ romantic fantasy from New York Times bestselling author F. T. Lukens is here! Perfect for fans of Rainbow Rowell, Daughter of the Pirate King and Adam Silvera. Prince Tal has waited a long time for his coming-of-age tour – a chance to explore his family’s kingdom. When his ship’s crew discovers a mysterious prisoner on a derelict vessel, Tal feels an intense connection with the roguish Athlen. So when Athlen leaps overboard and disappears, Tal is heartbroken. But it’s not long before Athlen turns up on dry land, very much alive, and as charming – and secretive – as ever. When Tal is kidnapped in a plot to reveal his powers and destroy his family, Athlen might be his only hope. But can Tal trust him? Funny, subversive, romantic fantasy from New York Times bestselling author F. T. Lukens. Look out for So This is Ever After and Spell Bound.","But can Tal trust him? Funny, subversive, romantic fantasy from New York Times bestselling author F. T. Lukens. Look out for So This is Ever After and Spell Bound."
Call Me Max (Max and Friends Series),"Lukoff, Kyle",Banned in Libraries and Classrooms,Florida,Palm Beach County School District,April 2022,Administrator,NULL,2019-10-15,,"Written with warmth and sensitivity by trans writer Kyle Lukoff, this book is a sweet and age-appropriate introduction to what it means to be transgender."
Call Me Max (Max and Friends Series),"Lukoff, Kyle",Banned in Libraries and Classrooms,Indiana,Carmel Clay Schools,July 2021,Administrator,NULL,2019-10-15,,"Written with warmth and sensitivity by trans writer Kyle Lukoff, this book is a sweet and age-appropriate introduction to what it means to be transgender."
When Aidan Became A Brother,"Lukoff, Kyle",Banned Pending Investigation,Florida,Duval County Public Schools,January 2022,Administrator,Juvenile Fiction,2019,"""Aidan, a transgender boy, experiences complicated emotions as he and his parents prepare for the arrival of a new baby""--","&quot;Aidan, a transgender boy, experiences complicated emotions as he and his parents prepare for the arrival of a new baby&quot;-- Provided by publisher."
When Aidan Became A Brother,"Lukoff, Kyle",Banned in Libraries and Classrooms,Virginia,Roanoke County Public Schools,January 2022,Formal Challenge,Juvenile Fiction,2019,"""Aidan, a transgender boy, experiences complicated emotions as he and his parents prepare for the arrival of a new baby""--","&quot;Aidan, a transgender boy, experiences complicated emotions as he and his parents prepare for the arrival of a new baby&quot;-- Provided by publisher."
The Gift of Ramadan,"Lumbard, Rabiah York",Banned Pending Investigation,Florida,Duval County Public Schools,January 2022,Administrator,Juvenile Fiction,2019-04-01,"Sophia wants to fast for Ramadan this year. Her grandma tells her that fasting helps make a person sparkly—and Sophia loves sparkles. But when her attempt at fasting fails, Sophia must find another way to participate. This lovely multigenerational family story explores the many ways to take part in the Ramadan holiday.",Sophia wants to fast for Ramadan this year.
"Reparations, Yes!: The Legal And Political Reasons Why New Afrikans, Black People In North America, Should Be Paid Now For The Enslavement Of Our Ancestors","Lumumba, Chokwe; Obadele, Imari Abubakari; Taifa, Nkechi",Banned in Classrooms,Pennsylvania,Central York School District,August 2021,Administrator,Social Science,2020-03-03,"Racism and discrimination have choked economic opportunity for African Americans at nearly every turn. At several historic moments, the trajectory of racial inequality could have been altered dramatically. Perhaps no moment was more opportune than the early days of Reconstruction, when the U.S. government temporarily implemented a major redistribution of land from former slaveholders to the newly emancipated enslaved. But neither Reconstruction nor the New Deal nor the civil rights struggle led to an economically just and fair nation. Today, systematic inequality persists in the form of housing discrimination, unequal education, police brutality, mass incarceration, employment discrimination, and massive wealth and opportunity gaps. Economic data indicates that for every dollar the average white household holds in wealth the average black household possesses a mere ten cents. In From Here to Equality, William Darity Jr. and A. Kirsten Mullen confront these injustices head-on and make the most comprehensive case to date for economic reparations for U.S. descendants of slavery. After opening the book with a stark assessment of the intergenerational effects of white supremacy on black economic well-being, Darity and Mullen look to both the past and the present to measure the inequalities borne of slavery. Using innovative methods that link monetary values to historical wrongs, they next assess the literal and figurative costs of justice denied in the 155 years since the end of the Civil War. Finally, Darity and Mullen offer a detailed roadmap for an effective reparations program, including a substantial payment to each documented U.S. black descendant of slavery. Taken individually, any one of the three eras of injustice outlined by Darity and Mullen--slavery, Jim Crow, and modern-day discrimination--makes a powerful case for black reparations. Taken collectively, they are impossible to ignore.","After opening the book with a stark assessment of the intergenerational effects of white supremacy on black economic well-being, Darity and Mullen look to both the past and the present to measure the inequalities borne of slavery."
The Best Laid Plans,"Lund, Cameron",Banned Pending Investigation,Michigan,Gladwin Community Schools,May 2022,Administrator,Young Adult Fiction,2021-02-02,"High school senior Keely Collins takes on firsts, lasts, and everything in between in this sweet, sex-positive rom-com for fans of Meg Cabot and Jenny Han. It seemed like a good plan at first. When the only other virgin in her group of friends loses it at Keely's own eighteenth birthday party, she's inspired to take things into her own hands. She wants to have that experience too (well, not exactly like that--but with someone she trusts and actually likes), so she's going to need to find the guy, and fast. Problem is, she's known all the boys in her small high school forever, and it's kinda hard to be into a guy when you watched him eat crayons in kindergarten. So she can't believe her luck when she meets a ridiculously hot new guy named Dean. Not only does he look like he's fallen out of a classic movie poster, but he drives a motorcycle, flirts with ease, and might actually be into her. But Dean's already in college, and Keely is convinced he'll drop her if he finds out how inexperienced she is. That's when she talks herself into a new plan: her lifelong best friend, Andrew, would never hurt or betray her, and he's clearly been with enough girls that he can show her the ropes before she goes all the way with Dean. Of course, the plan only works if Andrew and Keely stay friends--just friends--so things are about to get complicated. Cameron Lund's delightful debut is a hilarious and heartfelt story of first loves, first friends, and first times--and how making them your own is all that really matters.","Of course, the plan only works if Andrew and Keely stay friends--just friends--so things are about to get complicated."
Ship It,"Lundin, Britta",Banned Pending Investigation,Tennessee,Collierville Schools,February 2022,Administrator,Young Adult Fiction,2018-05-01,"CLAIRE is a sixteen-year-old fangirl obsessed with the show Demon Heart. FOREST is an actor on Demon Heart who dreams of bigger roles. When the two meet at a local Comic-Con panel, it's a dream come true for Claire. Until the Q&A, that is, when Forest laughs off Claire's assertion that his character is gay. Claire is devastated. After all, every last word of her super-popular fanfic revolves around the romance between Forest's character and his male frenemy. She can't believe her hero turned out to be a closed-minded jerk. Forest is mostly confused that anyone would think his character is gay. Because he's not. Definitely not. Unfortunately for Demon Heart, when the video of the disastrous Q&A goes viral, the producers have a PR nightmare on their hands. In order to help bolster their image within the LGBTQ+ community—as well as with their fans—they hire Claire to join the cast for the rest of their publicity tour. What ensues is a series of colorful Comic-Con clashes between the fans and the show that lead Forest to question his assumptions about sexuality and help Claire come out of her shell. But how far will Claire go to make her ship canon? To what lengths will Forest go to stop her and protect his career? And will Claire ever get the guts to make a move on Tess, the very cute, extremely cool fanartist she keeps running into? Ship It is a funny, tender, and honest look at all the feels that come with being a fan.","And will Claire ever get the guts to make a move on Tess, the very cute, extremely cool fanartist she keeps running into? Ship It is a funny, tender, and honest look at all the feels that come with being a fan."
Ship It,"Lundin, Britta",Banned Pending Investigation,Texas,North East Independent School District,December 2021,Administrator,Young Adult Fiction,2018-05-01,"CLAIRE is a sixteen-year-old fangirl obsessed with the show Demon Heart. FOREST is an actor on Demon Heart who dreams of bigger roles. When the two meet at a local Comic-Con panel, it's a dream come true for Claire. Until the Q&A, that is, when Forest laughs off Claire's assertion that his character is gay. Claire is devastated. After all, every last word of her super-popular fanfic revolves around the romance between Forest's character and his male frenemy. She can't believe her hero turned out to be a closed-minded jerk. Forest is mostly confused that anyone would think his character is gay. Because he's not. Definitely not. Unfortunately for Demon Heart, when the video of the disastrous Q&A goes viral, the producers have a PR nightmare on their hands. In order to help bolster their image within the LGBTQ+ community—as well as with their fans—they hire Claire to join the cast for the rest of their publicity tour. What ensues is a series of colorful Comic-Con clashes between the fans and the show that lead Forest to question his assumptions about sexuality and help Claire come out of her shell. But how far will Claire go to make her ship canon? To what lengths will Forest go to stop her and protect his career? And will Claire ever get the guts to make a move on Tess, the very cute, extremely cool fanartist she keeps running into? Ship It is a funny, tender, and honest look at all the feels that come with being a fan.","And will Claire ever get the guts to make a move on Tess, the very cute, extremely cool fanartist she keeps running into? Ship It is a funny, tender, and honest look at all the feels that come with being a fan."
